spec,trinomial,site,sex,burial
592,41cp5,Carpenter,male,B19
593,41cp5,Carpenter,male,B19
594,41cp5,Carpenter,male,B19
602,41cp5,Carpenter,male,B1
604,41cp5,Carpenter,male,B1
605,41cp5,Carpenter,male,B1
606,41cp5,Carpenter,male,B1
607,41cp5,Carpenter,male,B1
608,41cp5,Carpenter,male,B36
610,41cp5,Carpenter,male,B36
611,41cp5,Carpenter,male,B36
612,41cp5,Carpenter,male,B19
F7.2.B,41hs15,PTM,male,F2.2072
F7.2.C,41hs15,PTM,male,F2.2072
F7.2.D,41hs15,PTM,male,F2.2072
F7.2.F,41hs15,PTM,male,F2.2072
F7.2.G,41hs15,PTM,male,F2.2072
F7.2.H,41hs15,PTM,male,F2.2072
F7.2.J,41hs15,PTM,male,F2.2073
F7.2.K,41hs15,PTM,male,F2.2073
F7.2.L,41hs15,PTM,male,F2.2073
F7.2.M,41hs15,PTM,male,F2.2073
F7.2.N,41hs15,PTM,male,F2.2073
F7.2.O,41hs15,PTM,male,F2.2073
F7.2.Q,41hs15,PTM,male,F2.2073
F7.2.R,41hs15,PTM,male,F2.2073
F7.2.S,41hs15,PTM,male,F2.2073
F7.3.A,41hs15,PTM,male,F8.1091
F7.3.B,41hs15,PTM,male,F8.1091
F7.3.C,41hs15,PTM,male,F8.1091
F7.3.D,41hs15,PTM,male,F8.1091
F7.3.E,41hs15,PTM,male,F8.1091
F7.3.F,41hs15,PTM,male,F8.1091
F7.3.G,41hs15,PTM,male,F8.1091
F7.3.H,41hs15,PTM,male,F8.1091
F7.3.I,41hs15,PTM,male,F8.1091
F7.3.J,41hs15,PTM,male,F8.1091
F7.3.K,41hs15,PTM,male,F8.1091
F7.3.L,41hs15,PTM,male,F8.1091
F7.3.M,41hs15,PTM,male,F8.1091
F7.3.N,41hs15,PTM,male,F8.1091
F7.3.O,41hs15,PTM,male,F8.1091
F7.3.P,41hs15,PTM,male,F8.1091
F7.3.Q,41hs15,PTM,male,F8.1091
F7.3.R,41hs15,PTM,male,F8.1091
F7.3.S,41hs15,PTM,male,F8.1091
F7.3.T,41hs15,PTM,male,F8.1091
F7.3.U,41hs15,PTM,male,F8.1091
F7.3.V,41hs15,PTM,male,F8.1091
F7.3.W,41hs15,PTM,male,F8.1091
F7.3.X,41hs15,PTM,male,F8.1091
F7.3.Y,41hs15,PTM,male,F8.1091
F7.3.Z,41hs15,PTM,male,F8.1091
F7.3.AA,41hs15,PTM,male,F8.1091
